review,sentiment
"Apartmente'L is one of the most interesting movies that I have ever seen. I experienced extreme frustration while watching this movie as I was gunning for the two leads to reunite. That never happened in the end which disappointed me to no end. But the ending lends an even more cynical touch to a generally cynical movie. It is not a movie which people are likely to rewatch but one watch itself will have a deep impact on people. As of now I haven't rewatched the movie and I don't think I will.<br /><br />The story follows the experiences of a man, Max, who is engaged to be married to Muriel. He remembers his old girlfriend Lisa(he considers this the love of his life) as he listens, by accident, to Lisa talking on the telephone. Thus he tries to find Lisa. Here starts his extremely frustrating search for Lisa. There are many layers to this movie. There are undercurrents of jealousy, vouyeurism and so on. There is also another character called Alice who is involved in the whole confusion. The movie then moves through a whole range of twists and finally leads to an ending which could be interpreted in many ways. It is fascinating how this movie has only four main characters but the clever writing makes it interesting and unique. What I love about the fact is that a movie about obsession, jealousy is done in such a light hearted manner. It has a very fast pace which is probably the reason why it can appeal to a large audience. The main character, Max, has shades of grey and I felt the ending was perfect. I don't think he is supposed to be a clean character considering the fact he is searching for his long lost love while he is engaged and he also has a fling with Alice.<br /><br />The character of Alice is even worse. Her manipulation and her compulsive lying can really irritate viewers(that is the point, I guess). The scene where she breaks down in front of Lucien really shows another facet of her character. It shows a side of her that wants to be accepted and that she is tired of all the lying and the games and she wants to lead a normal life. In the end, she understands that she needs to get away from it all. The ending lends a cynical touch. Because it seems as if Max's love for Alice is temporary and fake. It is as if to say that love in general is a temporary emotion and it is better to choose the safe option(i.e Muriel) than to pursue something that is so fleeting(i.e Lisa or Alice). In many ways this is not really a romantic movie but a satire about romance(in a way).<br /><br />The performances deserve high praise. Vincent Cassel as Max gives a great performance. He perfectly portrays the confusion of a man who is not really sure about his engagement. His geeky looks are an added advantage as it fits the character perfectly. But the real star of the movie is Romane Bohringer as Alice. Her nuanced portrayal of a woman who is jealous of Alice and is in love with Max. The scene where she screams ""I am a nutcase too"" really shows her desperation and her yearning to live a normal life with a man who loves her.<br /><br />Btw I also thought lesbianism is another interpretation that can be drawn from this movie. Alice's actions can be explained in many ways. And her unreasonable obsession with Lisa may also be explained as a manifestation of a lesbian desire. It may be far-fetched considering she encourages Lisa to forgive her current boyfriend. But I got the feeling that she was a lesbian for a long time. She also avoids questions from Lisa regarding a boyfriend. She spends a whole lot of time with Lisa and she is happy during that time. That may lead many to question her sexual orientation.<br /><br />Overall I would give it a 9/10. I think it deserves it but I subtracted one because of the rewatchability factor. I think it is a perfect movie otherwise.",positive
"Blue ribbon banners, stars and stripes forever, decorated generals, and unconditional surrender from the enemies which required tons and tons of radiation, this was the summon substance of the United States victory in World War II!! The celebration on Times Square as well as everywhere else in the United States suggests a national zenith!!! America is on top right!! one thing, one agonizing and painstakingly perverse thing..The period of adjustment!!..The actual celebration ended when the bottle of champagne was finished..Now everyone needs to get on with their lives...only one problem though...they have to get new lives...the old lives are gone forever...Polite and pleasant smiles had a fragile facade with a longevity of ice cubes in boiling water!! Everyone of the characters in the movie is paraded by primal doubts, and unable to masquerade a pretense about how nothing was seriously wrong, for the simple reason that it was not true!!! Once sergeants, and generals, and their wives, and daughters, and sons and virtually all other Americans touched by World War II, were exposed to disabilities, nightmares and recriminations of World War II and what it really accomplished as well as negated, nobody was the same!! For now, social and moral issues had a self serving interest...Frederick March and Myrna Loy had to start over!! Dana Andrews realized that he should never have been married to Virginia Mayo in the first place!!! Theresa Wright has become painfully aware of the fact that she is constructively selfish!! Las but not least, the character, Homer, is about to get married and he thinks that everyone around him is as devastated by his injury as he is, basically in the sense that they are unable or unwilling to cope!!<br /><br />The reason this film is so fabulous is because a happy ending was attained the hard way, once everybody recognized the new beginning of the new United States and the new world overall, tragedy from WWII was recognized, and things that were emotionally torn asunder were taken in stride, and dealt with accordingly!! Frederick March and Myrna Loy need to go back to chapter one in their marriage, Homer has apprised his new bride as to what it takes to be married to him (i.e. half the times, she will feel like a nurse) and Thresa Wright's involvement with Dana Andrews means that her entrance into adulthood has resulted in partial responsibility for breaking up a marriage...This is tantamount to learning how to drive a car to get your driver's license at the Indianapolis 500...The characters in the movie are the typical post WWII Americans in that they are stalemated by the rude awakening of coercive changes to their lives...Happiness no longer is afforded the luxury of the adjective cop-aesthetic...it is now about formidable conditions, and good winning out over evil by way of the less ugly choice!!...World War II did not just happen!! It will henceforth dominate the social patterns of American living!!!<br /><br />The aggregate catastrophe of World War II has mirrored most Americans' feelings of personal human inadequacy as well!!I loved this film and so did AFI, probably for the reason that it brought out issues that were at one time unjustifiably taboo!!..Bottom line, see this movie!! Nightmares about combat, dilemmas about marital unhappiness and/or readjustment, coping with your life when stricken-ed by a disability and just basically acting human are portrayed constantly in movies and television today, HOWEVER!! this is 1946!! Very new to Americans then....REMEMBER THAT!! Director William Wyler has illustrated how Americans feel about the aftermath of WWII in the days when the movie industry has left him with one hand tied behind his back!!! Take that into account and you will probably realize just how sensational this movie really was!!",positive
"An Insomniac's Nightmare is the story of a man's plunge into insanity. Having chronic Insomnia, Jack is plagued by hallucinations; causing him to try and determine what is real and what isn't.<br /><br />We find out interesting things about Jack near the end, and think that by the time the movie is over we will have a ""happily ever after"" Hollywood ending. Wrong. This is New York City, the place where nobody sleeps.<br /><br />Tess Nanavati (Writer and Director) has herself a good film in 'An Insomniac's Nightmare'. A talented filmmaker and writer (she made this film right after her High School Graduation), she has real potential and will be one to watch in the upcoming future.<br /><br />As I watched this short film I was constantly uncomfortable; between the music, bleak scenery, and realistic portrayal of an insomniac by Dominic Monaghan (as Jack), I desperately wanted to turn this off at times just to escape from it.",positive
"Do you know that they want to escavate the Moon for real?And in Geneve there is the debated project that could lead to make possible time machine?All i can say about this movie that is based on facts about future(at the time of the movie)scientifical projects but real. Hope the moon will exist not happen as in the movie. Now about the movie itself, I saw the original movie too, and I also read the book. The book I didn't like though, but the movie yes.I totally agree with a previous comment that this movie was depressing,unlike the 60's one.That was very good with force, this one was only a paralled future of what is good movie.",negative
"I saw ""Sweeney Todd"" on Broadway in 1980. It starred George Hearn and featured most of the other cast principals who appeared in the national touring company production, which was videotaped for TV in Los Angeles in 1982. Last night I watched the new DVD release of the Los Angeles production, although I have owned the videotape for many years. The production and the performances could have hardly been better but the original tape's age showed because both the audio and video quality are below modern standards, even on a newly pressed DVD. Nevertheless I still give it 10 out of 10 because of the greatness of the work and George Hearns's and Angella Lansbury's startlingly wonderful performances. Even today, my most memorable recollection from a live musical theater performance has to be Hearn's rendition of ""These are My Friends."" ""You'll drip rubies,"" brrr.",positive
"I don't understand the low 5.7 rating on this film. It's a delight for people who like a strong suspense plot and dark atmospherics. The tone is reminiscent of Midnight in the Garden of Good and Evil, down to the locale (Savannah). The acting is strong, and I was amazed at the verisimilitude of Kenneth Branagh's southern accent. Famke Jansen is great, Robert Duval is effective in a small part, and Embeth Davitz is the BOMB. Great full nude scene of her,too.<br /><br />The plot is fairly standard but effectively executed.",positive
"This should have been a movie about Sam and his wife, the glorious Peter Falk and equally glorious Olympia Dukakis. That would have been a movie worth seeing. Instead it's a Paul Reiser vehicle, with a little Falk thrown in. The wonderful Elizabeth Perkins is also in this movie, but you'd hardly know it. I presume Reiser is under the impression that he's a giant movie star who needs an appropriate vehicle. He's not. Even more galling is that Reiser took the trouble to hire some of the best women character actresses on the screen today and then shoved them all into his background. Dukakis does not show up until the last 15 minutes, but when she does, the screen glows. The story is about Falk and Dukakis really, but we're subjected to a pointless, silly, preposterous road trip in which Reiser gets to show how very cute, precious and oh-so-deep with psychological insight (wrong!) he can be. For instance, In a restaurant scene that I imagine Reiser had hoped was ""Cassavetes-like"" there's a laughably false confrontation between Reiser and Falk that is so patently ridiculous, I was embarrassed for Falk.",negative
"CRYSTAL VOYAGER is a strange documentary about an eccentric surfer living in Australia. An American by birth George Greenough has surfed and photographed himself, friends and recently, dolphins, in Australia for 35 years, all using various re invented cameras which he either straps on his back, board or boat. In the mid 70s he teamed up with Surf Mag editor and budding film maker David Elfick to create this visually interesting tale about this life and photography. The 75 minute feature CRYSTAL VOYAGER is the result. Even in the 70s audiences were a bit puzzled by this film, neither surf-ing movie nor surf movie, because George swims about on a children's zippy board, not a real surfboard.... it offset the tedious droning of George (occasionally so dry or droll that it was actually funny.. like almost setting himself on fire or falling over something) with a spectacular 'you are there' power glide through a wave that ran for 23 minutes all set to Pink Floyd music. In 1974 when the Sydney Opera house opened, it also contained a cinema. Crystal Voyager was booked in there as an arty-sporty OZ pic and by default became a hit: as the 'opera house tickets' cost far more than a movie ticket, audiences flocked to see this film as an excuse to 'have been to the Sydney Opera House'...so the film did record business as a low budget attraction to locals and tourists who wanted to tell neighbors that they had seen a show 'there'. This created this myth that the film was a huge crowd puller and the reputation spread. As a result it was teamed with the fantasy cartoon FANTASTIC PLANET and had a trippy run through the UK and Europe as a double feature. I ran it at a coastal cinema in the 70s and the crowd was rather nonplussed about it all. Recently George has re emerged Lord Of The Flies style with another well photographed sea adventure called DOLPHIN GLIDE that offers viewers a dive and swim with the wild dolphins of Byron Bay. It is an eccentric 20 min short with an even more eccentric 20 min 'how George did it' short. Each were met with a collective yawn by both the media and the pubic in January 2005.... all of which makes CRYSTAL VOYAGER a 'you had to have been there' fluke all those years ago. However at a special Oz Surf night at an outdoor cinema last year 2000 people turned up....but then 2000 turn up every night to see anything there during this summer season of films.....so the damned thing fluked another box office binge. How many actually enjoyed it is very much open to debate. Again they were more than likely just plain puzzled by this mad film with an astonishing reputation. Elfick however, since 1975, has gone onto a stellar career as a major producer and director of many lauded Australian and international films. Look up NO WORRIES or STARSTRUCK or UNDERCOVER or RABBIT PROOF FENCE or LOVE IN LIMBO for clear and present applause at his achievements. George, however, is still floating around out there somewhere droning away and looking for something else to film, or drop a camera on.",negative
"OK, first of all, Steve Irwin, rest in peace. You were loved by many fans. Now...this movie wasn't a movie at all. It was ""The Crocodile Hunter"" TV program with bad acting, bad scripts, and bad directing in between Steve capturing or teaching us about animals. He was entertaining as an animal seeker/specialist. Millions will miss him. But the whole movie idea was a big mistake. The plot was so broken, it was almost non-existent. Casting was horrible. The acting wasn't even worth elementary school-level actors. The direction must be faulted as well. If you can't get a half-way decent performance out of your actors, no matter how bad the script is, you must not be that good in the first place. I could have written a better script. I wish I had never been to see this movie. Of course, I watched it for $3 ($1.50 for me, $1.50 for my son.) while out with friends who insisted upon seeing this instead of Scooby Doo Live Action. My son, who is not so discriminating, liked the movie alright, but he still has never asked to see it again. If you want fond memories of Steve Irwin, buy his series on DVD. Avoid this movie like the plague. If I were Steve, I know I wouldn't want to be remembered for this movie. Respect him: avoid this movie!",negative
"This is just a long advertisement for the movie ""The Death Tunnel"". Although it is an interesting history of the Waverly Hills Sanatorium, the whole ghost theory is up to your interpretation. More ""Ghost Orbs"" which you can duplicate with dust in front of a flash camera, and the ""Ectoplasmic Mist"" is just someone's cigarette smoke lit up with the camera flash. I couldn't see any ""Shadow People"" until they drew an outline around the blurry distortion of the image. No scientific explanations were suggested for the phenomena, only paranormal. Perhaps these are only events one would have to see to believe, so be sure to make plans to visit the Sanatorium on your next vacation in Louisville, Kentucky.",negative
